"theme_name","most_used_color"
"12V","Light Gray"
"12V","Black"
"4 Juniors","White"
"4.5V","Black"
"4.5V","Blue"
"9V","Dark Bluish Gray"
"9V","Black"
"Advent","Red"
"Advent Sub-Set","Red"
"Adventurers","Black"
"Agents","Black"
"Agori","Black"
"Airjitzu","Black"
"Airport","White"
"Airport","Red"
"Airport","Black"
"Airport","White"
"Airport","White"
"Airport","White"
"Airport","Red"
"Airport","Black"
"Airport","Red"
"Airport","White"
"Airport","White"
"Alien Conquest","Light Bluish Gray"
"Alpha Team","Black"
"An Unexpected Journey","Reddish Brown"
"Angry Birds","Light Bluish Gray"
"Animals","White"
"Aquanauts","Yellow"
"Aquaraiders I","Black"
"Aquaraiders II","Black"
"Aquasharks","Black"
"Aquazone","Chrome Silver"
"Architecture","White"
"Arctic","Black"
"Arctic","Light Bluish Gray"
"Arctic Technic","Light Gray"
"Atlantis","Black"
"Avatar","Dark Bluish Gray"
"Avengers","Black"
"Barraki","Black"
"Basic","Red"
"Basic Model","Red"
"Basic Model","Black"
"Basic Set","Red"
"Basic Set","Red"
"Basic Set","Red"
"Basic Set","Red"
"Basketball","Red"
"Batman","Black"
"Battle Vehicles","Black"
"Belville","White"
"Belville","Pink"
"Belville","White"
"Ben 10","Dark Blue"
"Bionicle","Green"
"Bionicle","Black"
"Bionicle","Red"
"Bionicle","Blue"
"Black Falcons","Light Gray"
"Black Knights","Black"
"Blacktron I","Black"
"Blacktron II","Black"
"Boat","White"
"Boat","White"
"Bohrok","Black"
"Bohrok-Kal","Light Gray"
"Bohrok Va","Black"
"Books","Black"
"Brickheadz","Black"
"Bricktober","Trans-Clear"
"Building","White"
"Building","Red"
"Building","Blue"
"Building","Yellow"
"Building","White"
"Building","Tan"
"Building Set with People","Red"
"Building Set with People","Red"
"Bulk Bricks","Black"
"Cargo","Black"
"Cargo","Black"
"Cargo","Black"
"Cargo","Black"
"Cargo","Yellow"
"Cars","Black"
"Cars","Black"
"Castle","Light Gray"
"Castle","Dark Gray"
"Castle","Light Bluish Gray"
"Castle","Black"
"Castle","Black"
"Castle","Black"
"Castle","White"
"Chamber of Secrets","Black"
"Christmas","White"
"City","Black"
"City","Black"
"City","White"
"Classic","White"
"Classic","White"
"Classic Basic","White"
"Classic Basic","Red"
"Classic Castle","Yellow"
"Classic Space","Light Gray"
"Classic Town","Red"
"Clikits","Trans-Dark Pink"
"Clikits","Trans-Dark Pink"
"Coast Guard","White"
"Coast Guard","Red"
"Coast Guard","White"
"Coast Guard","Black"
"Coast Guard","White"
"Collectible Minifigures","Yellow"
"Competition","Black"
"Constraction","Black"
"Constraction","Black"
"Construction","Yellow"
"Construction","Black"
"Construction","Yellow"
"Construction","Yellow"
"Construction","White"
"Construction","Red"
"Construction","Yellow"
"Construction","Black"
"Control Lab","Dark Gray"
"Control Lab","Black"
"Cowboys","Black"
"Creator","White"
"Creator","White"
"Creator","White"
"Creator","Red"
"Creator","Black"
"Creature","Black"
"Creature","Black"
"Crusaders","Light Gray"
"Dark Forest","Black"
"Desert","Black"
"Designer Sets","Black"
"DFB Minifigures","White"
"Dimensions","Black"
"Dino","Yellow"
"Dino 2010","Black"
"Dino Attack","Black"
"Dino Island","Light Gray"
"Dinosaurs","Light Gray"
"Discovery","Light Gray"
"Disney","White"
"Disney","Black"
"Disney's Mickey Mouse","Red"
"Disney Princess","White"
"Divers","Black"
"Drome Racers","Black"
"Duplo","Red"
"Easter","Yellow"
"Educational and Dacta","Yellow"
"eLAB","Black"
"Elves","Black"
"EV3","Black"
"Exo-Force","Black"
"Expert Builder","Light Gray"
"Exploriens","White"
"Extreme Team","Black"
"Fabuland","Yellow"
"Factory","Black"
"Fairy-Tale","White"
"Fantasy Era","Light Bluish Gray"
"Farm","Blue"
"Farm","Black"
"Farm","Red"
"Farm","Black"
"Ferrari","Red"
"Ferries","White"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","White"
"Fire","Red"
"Fire","Black"
"Fire","Black"
"Fire","Red"
"FIRST LEGO League","Black"
"Food & Drink","Red"
"Food & Drink","White"
"Food & Drink","White"
"Forestmen","Black"
"Freestyle","Yellow"
"Friends","White"
"Friends","White"
"Friends","White"
"Fright Knights","Light Gray"
"Fusion","Tan"
"Futuron","White"
"Galaxy Squad","Black"
"Game","Black"
"Gas Station","Yellow"
"Gas Station","White"
"Gas Station","White"
"Gas Station","Black"
"Gear","White"
"Gears","Red"
"Ghostbusters","Black"
"Glatorian","Black"
"Glatorian Legends","Black"
"Goblet of Fire","Black"
"Golden Land","Dark Pink"
"Gravity Games","White"
"Guardians of the Galaxy","Black"
"Halloween","Black"
"Harbor","Black"
"Harbor","White"
"Harbor","Black"
"Harbor","Yellow"
"Harbor","Red"
"Harbor","Black"
"Harbor","White"
"Harbor","Black"
"Harry Potter","Black"
"Hero Factory","Black"
"Heroes","Black"
"HO 1:87 Vehicles","Black"
"Hobby Sets","Black"
"Hockey","Black"
"Holiday","Brown"
"Homemaker","White"
"Hospital","White"
"Hospital","White"
"Hospital","White"
"Hospital","White"
"Hospital","Yellow"
"Hydronauts","Black"
"Ice Planet 2002","Blue"
"Imperial Armada","Black"
"Imperial Soldiers","Black"
"Indians","Black"
"Insectoids","Black"
"Inventor","Black"
"Iron Man","Black"
"Island Xtreme Stunts","Black"
"Islanders","Black"
"Jumbo Bricks","Blue"
"Jungle","Black"
"Jungle","Light Gray"
"Jungle Rescue","Reddish Brown"
"Juniors","White"
"Jurassic Park III","Black"
"Jurassic World","Dark Bluish Gray"
"Justice League","Black"
"Key Chain","White"
"Kingdom of the Crystal Skull","Dark Bluish Gray"
"Kingdoms","Light Bluish Gray"
"Knights Kingdom I","Black"
"Knights Kingdom II","Black"
"Lamborghini","Black"
"Last Crusade","Light Bluish Gray"
"Launch Command","White"
"Learning","White"
"Legend Beasts","White"
"Legends of Chima","Black"
"LEGO Brand Store","Black"
"LEGO Exclusive","Black"
"LEGO Ideas and CUUSOO","Light Bluish Gray"
"Legoland","White"
"Legoland Parks","Yellow"
"Life On Mars","Light Gray"
"Lion Knights","Light Gray"
"M:Tron","Black"
"Mars Mission","Black"
"Marvel","Black"
"Master Building Academy","Black"
"Matoran of Light","Dark Bluish Gray"
"Matoran of Mahri Nui","Black"
"Matoran of Mata Nui","Black"
"Matoran of Metru Nui","Dark Bluish Gray"
"Matoran of Voya Nui","Black"
"Mindstorms","Black"
"Minecraft","Light Bluish Gray"
"Mini","Light Bluish Gray"
"Mini","Red"
"Mini","Light Bluish Gray"
"Minifig Pack","Black"
"Minitalia","Red"
"Mission Deep Freeze","Black"
"Mission Deep Sea","Black"
"Mistika","Black"
"Model","Black"
"Model","Black"
"Model Team","Light Gray"
"Modular Buildings","Light Bluish Gray"
"Monster Fighters","Light Bluish Gray"
"Monthly Mini Model Build","White"
"Mosaic","White"
"Mosaic","White"
"My Own Creation","Light Gray"
"My Own Creation","Black"
"My Own Train","Black"
"Nexo Knights","Black"
"Ninja","Black"
"Ninjago","Black"
"NXT","Black"
"NXT","Black"
"Off-Road","Black"
"Off-Road","Black"
"Off-Road","Black"
"Order of the Phoenix","Light Bluish Gray"
"Orient Expedition","Black"
"Other","Light Bluish Gray"
"Outback","Light Gray"
"Paradisa","White"
"Phantoka","Black"
"Pharaoh's Quest","Tan"
"Pick A Model","Black"
"Piraka","Black"
"Pirates","Reddish Brown"
"Pirates","Chrome Gold"
"Pirates","Reddish Brown"
"Pirates","Black"
"Pirates","Black"
"Pirates I","Black"
"Pirates II","Black"
"Pirates III","Black"
"Pirates of the Caribbean","Black"
"Planet Series 2","Light Bluish Gray"
"Planet Series 3","Black"
"Planet Series 4","Black"
"Playhouse","White"
"Playsets","Black"
"Police","White"
"Police","White"
"Police","Black"
"Police","Blue"
"Police","White"
"Police","White"
"Police","Black"
"Police","Black"
"Post Office","Red"
"Post Office","Blue"
"Post Office","White"
"Power Functions","Light Bluish Gray"
"Power Miners","Black"
"Power Racers","Black"
"Prince of Persia","Dark Bluish Gray"
"Prisoner of Azkaban","Light Bluish Gray"
"Promotional","White"
"Protectors","Black"
"Race","Black"
"Race","Black"
"Race","Black"
"Race","White"
"Racers","Black"
"Radio Control","Black"
"Rahaga","Black"
"Rahi","Black"
"Rahkshi","Dark Gray"
"Raiders of the Lost Ark","Dark Bluish Gray"
"RC Train","Black"
"RC Train","Dark Bluish Gray"
"RCX","Light Gray"
"RCX","Light Gray"
"Recreation","White"
"Recreation","Light Bluish Gray"
"Recreation","White"
"Res-Q","Black"
"Riding Cycle","Light Bluish Gray"
"Riding Cycle","Black"
"RoboForce","Black"
"RoboRiders","Black"
"Robot","White"
"Robot","Black"
"Rock Raiders","Black"
"Royal Knights","Light Gray"
"Scala","White"
"Scooby-Doo","Light Bluish Gray"
"Sculptures","White"
"Seasonal","White"
"Series 1","Black"
"Series 1 Minifigures","Black"
"Series 10 Minifigures","Black"
"Series 11 Minifigures","Black"
"Series 12 Minifigures","Black"
"Series 13 Minifigures","Black"
"Series 14 Minifigures","Black"
"Series 15 Minifigures","Black"
"Series 16 Minifigures","Black"
"Series 17 Minifigures","Black"
"Series 2","Black"
"Series 2 Minifigures","Black"
"Series 3","Black"
"Series 3 Minifigures","Black"
"Series 4","Black"
"Series 4 Minifigures","Black"
"Series 5","Black"
"Series 5 Minifigures","Black"
"Series 6","Black"
"Series 6 Minifigures","Black"
"Series 7","Light Bluish Gray"
"Series 7 Minifigures","Black"
"Series 8","White"
"Series 8 Minifigures","Black"
"Series 9","Black"
"Series 9 Minifigures","Black"
"Service Packs","Black"
"Service Packs","Black"
"Skull Spiders","Black"
"Skylines","Tan"
"Soccer","White"
"Soft Bricks","Red"
"Sorcerer's Stone","Light Gray"
"Space","White"
"Space","Black"
"Space","Black"
"Space","Blue"
"Space Police I","Black"
"Space Police II","Black"
"Space Police III","Black"
"Space Port","White"
"Speed Champions","Black"
"Speed Racer","Black"
"Speed Slammers","Black"
"Speedorz","Black"
"Spider-Man","Black"
"Spider-Man 2","Black"
"SpongeBob SquarePants","Red"
"Sports","White"
"Spybiotics","Black"
"Spyrius","Black"
"Star Wars","Light Gray"
"Star Wars","Black"
"Star Wars","Light Bluish Gray"
"Star Wars","White"
"Star Wars","[No Color]"
"Star Wars Clone Wars","White"
"Star Wars Clone Wars","Light Bluish Gray"
"Star Wars Episode 1","Light Bluish Gray"
"Star Wars Episode 1","Yellow"
"Star Wars Episode 1","Light Bluish Gray"
"Star Wars Episode 2","White"
"Star Wars Episode 2","Light Bluish Gray"
"Star Wars Episode 2","Light Bluish Gray"
"Star Wars Episode 3","Light Bluish Gray"
"Star Wars Episode 3","Light Bluish Gray"
"Star Wars Episode 3","Black"
"Star Wars Episode 4/5/6","Light Bluish Gray"
"Star Wars Episode 4/5/6","Light Bluish Gray"
"Star Wars Episode 4/5/6","Light Bluish Gray"
"Star Wars Episode 4/5/6","Light Bluish Gray"
"Star Wars Episode 7","Dark Bluish Gray"
"Star Wars Episode 8","Light Bluish Gray"
"Star Wars Expanded Universe","Black"
"Star Wars Expanded Universe","Dark Bluish Gray"
"Star Wars Other","Black"
"Star Wars Rebels","Light Bluish Gray"
"Star Wars Rogue One","Light Bluish Gray"
"Stars","Dark Bluish Gray"
"Station","White"
"Stingrays","Black"
"Studios","Black"
"Super Heroes","Black"
"Superman","Black"
"Supplemental","White"
"Supplemental","Red"
"Supplemental","White"
"Supplemental","Light Bluish Gray"
"Supplemental","Green"
"Supplemental","Black"
"Supplemental","Light Bluish Gray"
"Supplemental","Black"
"Supplemental","Black"
"Supplemental","Black"
"Supplemental","Chrome Silver"
"Supplemental","Black"
"Supplemental","Red"
"Supplemental","White"
"Supplemental","Red"
"Supplemental","Black"
"Supplemental","Dark Bluish Gray"
"Supplemental","Light Gray"
"Supplemental","Red"
"Supplemental","White"
"Team GB","White"
"Technic","Black"
"Technic","Black"
"Technic","[No Color]"
"Technic","Black"
"Technic","Light Gray"
"Technic","Black"
"Teenage Mutant Ninja Turtles","Light Bluish Gray"
"Temple of Doom","Dark Bluish Gray"
"Thanksgiving","Reddish Brown"
"The Battle of the Five Armies","Dark Bluish Gray"
"The Desolation of Smaug","Dark Bluish Gray"
"The Fellowship of the Ring","Dark Bluish Gray"
"The Hobbit","Black"
"The Hobbit","Reddish Brown"
"The Hobbit","Tan"
"The LEGO Movie","Black"
"The LEGO Movie Series","Black"
"The Lone Ranger","Black"
"The Lord of the Rings","Dark Bluish Gray"
"The Return of the King","Black"
"The Simpsons","Black"
"The Two Towers","Black"
"Throwbot Slizer","Black"
"Time Cruisers","Light Gray"
"Tiny Turbos","Black"
"Titans","Black"
"Toa","Black"
"Toa Hagah","Black"
"Toa Hordika","Dark Bluish Gray"
"Toa Inika","Black"
"Toa Mahri","Black"
"Toa Metru","Black"
"Toa Nuva","Black"
"Toa Okoto","Black"
"Tohunga","Black"
"Town","Black"
"Town","White"
"Town","Light Bluish Gray"
"Town Plan","White"
"Town Plan","White"
"Toy Story","Black"
"Toy Story","Dark Bluish Gray"
"Track System","Black"
"Traffic","Red"
"Traffic","Black"
"Traffic","Black"
"Traffic","Yellow"
"Traffic","Black"
"Traffic","White"
"Traffic","Black"
"Traffic","Black"
"Traffic","Black"
"Train","Black"
"Train","Trans-Clear"
"Train","Red"
"Train","Black"
"Trains","Dark Bluish Gray"
"Turaga","Black"
"UFO","Black"
"Ultimate Collector Series","White"
"Ultimate Collector Series","Black"
"Ultra Agents","Black"
"Unitron","Black"
"Universal Building Set","Red"
"Universal Building Set","Light Gray"
"Universe","White"
"Vahki","Black"
"Valentine","Red"
"Vehicle","Black"
"Vehicles","Black"
"Vikings","Black"
"Villains","Black"
"Visorak","Black"
"Warriors","Black"
"WeDo","White"
"WesternÂ ","Chrome Gold"
"Williams F1","Black"
"Wolfpack","Light Gray"
"World City","Dark Gray"
"World Racers","Black"
"X-Men","Black"
"X-Pod","Black"
"Xalax","Black"
"Znap","Black"
